1) வலி, வளி, வழி – ஒலி வேறுபாடறிந்து பொருள் தருக.
a) துன்பம், காற்று, நெறி
b) காற்று, நெறி, துன்பம்
c) நெறி, காற்று, துன்பம்
d) துன்பம், நெறி, காற்று
✅ பதில்: a) துன்பம், காற்று, நெறி

2) ஒலி மற்றும் பொருள் வேறுபாட்டுடன் சரியான சொற்றொடரைத் தேர்ந்தெடுக்கவும்.
a) என் வீட்டுத் தோட்டத்தில் மலர்கள் மனம் வீசின
b) என் வீட்டுத் தோட்டத்தில் மலர்கள் மனம் வீசின ✅
c) என் வீட்டுத் தோட்டத்தில் மலர்கள் மனம் வீசிந
d) என் வீட்டுத் தோட்டத்தில் மலர்கள் மனம் வீசிந
✅ பதில்: b) என் வீட்டுத் தோட்டத்தில் மலர்கள் மனம் வீசின

3) ஒலி வேறுபாட்டறிந்து சரியான பொருளைக் கண்டறிக. [பரவை - பறவை]
a) பரவுதல் - பறத்தல்
b) ஆழி - இறகு
c) பரப்புதல் - பெயர்ச்சொல்
d) கடல் - புள்
✅ பதில்: d) கடல் - புள்

4) ஒலி வேறுபாடு அடிப்படையில் சரியான பொருள் என்ன?
அணி - அணி
a) வரிசை - பொருந்துதல்
b) தோழன் - தோழி
c) அலங்காரம் - தழை
d) அணிவகை - அணுகல்
✅ பதில்: a) வரிசை - பொருந்துதல்

5) வினை - வினை – ஒலி வேறுபாடறிந்து பொருள் தேடுக.
a) கேள்வி - செயல்
b) பாசம் - பகை
c) உணவு - உரை
d) நிலை - நிகழ்வு
✅ பதில்: a) கேள்வி - செயல்

6) தோழன், தோள், தோல் – ஒலி வேறுபாட்டைக் கவனிக்கவும்.
a) நண்பர், கை, மேல் தோல்
b) மேல், தோள், தோழி
c) தோழி, தோள், தோல்
d) தோழன், தோல், தோழி
✅ பதில்: a) நண்பர், கை, மேல் தோல்

7) பரிசு - பரிச்சை – ஒலி வேறுபாடுடைய சொற்கள். பொருள்:
a) பரிசு - பரீட்சை
b) பரிசு - பரிந்துரை
c) பரிசு - பரிபாகம்
d) பரிசு - பரிகாரம்
✅ பதில்: a) பரிசு - பரீட்சை

8) மலை, மாலை, மாலி – ஒலி வேறுபாடறிதல்.
a) எடுப்பு, நேரம், தோட்டக்காரர்
b) மணல், நேரம், பயிரிடுபவர்
c) இடம், மரம், களை
d) மேடு, மணம், முளை
✅ பதில்: a) எடுப்பு, நேரம், தோட்டக்காரர்

9) கூடை, கோடை, குடை – ஒலி வேறுபாடு.
a) தொட்டி, வெப்பம், மழைக்கவசம்
b) வாசகம், வெயில், குடிசை
c) உதிரி, குளிர், மேகம்
d) சுற்று, நிலை, சுடர்
✅ பதில்: a) தொட்டி, வெப்பம், மழைக்கவசம்

10) மரம் - வரம் – ஒலி வேறுபாடு அடிப்படையில் பொருள்.
a) செடி - ஈடுசெய்தல்
b) செடி - நற்கொடை
c) இடம் - இடை
d) பயிர் - பயன்
✅ பதில்: b) செடி - நற்கொடை

11) பார், பாரு, பாரி – ஒலி வேறுபாடு.
a) நிலம், புனல், பண்டைய அரசர்
b) கடல், ஓடை, ரிஷி
c) நிலம், நதி, பாடகர்
d) பாரம், பார்வை, பவளம்
✅ பதில்: a) நிலம், புனல், பண்டைய அரசர்

12) மண், மன் – ஒலி வேறுபாடு.
a) நிலம், அரசன்
b) நீர், நதி
c) அப்பம், அம்மா
d) வெந்நீர், வாழை
✅ பதில்: a) நிலம், அரசன்

13) பணம், பனம் – ஒலி வேறுபாடு.
a) ரூபாய், மரம்
b) விலை, பொருள்
c) காசு, கனி
d) சில்லறை, குடம்
✅ பதில்: a) ரூபாய், மரம்

14) கனி, கணி – ஒலி வேறுபாடு.
a) பழம், நிலம்
b) கனி, கண்
c) மரம், கல்லு
d) பாசி, வாசி
✅ பதில்: a) பழம், நிலம்

15) நெடுநல், நெடுநாள் – ஒலி வேறுபாடு.
a) சிறந்த, நாள்
b) மேன்மை, காலம்
c) நல்ல, காலம்
d) உயர்ந்த, வாழ்நாள்
✅ பதில்: c) நல்ல, காலம்

16) நிலம், நிழல் – ஒலி வேறுபாடு.
a) இடம், அடிபடை
b) தளம், சிறை
c) பசுமை, காடு
d) நிலம், ஒளிபுகல்
✅ பதில்: d) நிலம், ஒளிபுகல்

17) எழில், அழில் – ஒலி வேறுபாடு.
a) அழகு, அழிதல்
b) ஒளி, கனல்
c) இன்பம், இழப்பு
d) உருவம், உரம்
✅ பதில்: a) அழகு, அழிதல்

18) புலி, புல் – ஒலி வேறுபாடு.
a) விலங்கு, செடி
b) கடல், காடு
c) மலை, மழை
d) புலி, புலவன்
✅ பதில்: a) விலங்கு, செடி

19) நீர், நிறை – ஒலி வேறுபாடு.
a) தண்ணீர், பூர்த்தி
b) ஓடை, பூதி
c) குழி, நிலை
d) அரை, நதி
✅ பதில்: a) தண்ணீர், பூர்த்தி

20) அகம், அகல் – ஒலி வேறுபாடு.
a) உள்ளே, பரந்தது
b) அருகில், வெளியே
c) உள்ளூர், ஊர்தி
d) அகன்று, அகனம்
✅ பதில்: a) உள்ளே, பரந்தது

21) பசு, பசி – ஒலி வேறுபாடு.
a) மாடு, இழிவு
b) மாடு, பட்டினி
c) கால்நடை, தீமையும்
d) பசுந்தி, பசித்தல்
✅ பதில்: b) மாடு, பட்டினி

22) வேங்கை, வேங்கையன் – ஒலி வேறுபாடு.
a) மரம், நாயகர்
b) சிறை, பாரதி
c) பறவை, கவி
d) பூ, பண்பு
✅ பதில்: a) மரம், நாயகர்

23) புனல், புனல் – பொருள் வேறுபாடு.
a) நீர், செல்வம்
b) நீர், உடல்
c) நீர், தூய்மை
d) நீர், பூங்காற்று
✅ பதில்: c) நீர், தூய்மை

24) வீடு, வீழ்ச்சி – ஒலி மற்றும் பொருள் வேறுபாடு.
a) இல்லம், கீழ்வரவு
b) பவனம், வீழ்வு
c) வாழிடம், வீழ்ச்சி
d) வீடு, வீழ்ச்சி
✅ பதில்: a) இல்லம், கீழ்வரவு

25) நாண், நன் – ஒலி வேறுபாடு.
a) வெட்கம், நல்ல
b) பணம், வீரம்
c) நாணயம், நட்பு
d) நன்றி, பெருமை
✅ பதில்: a) வெட்கம், நல்ல

--- NEW QUESTIONS ---

26) அரம், அறம் – ஒலி வேறுபாடறிந்து பொருள் தருக.
a) வாள், கடமை
b) கருவி, கொடை
c) ஒரு வகை உலோகம், நேர்மை
d) அறுக்கும் கருவி, தருமம்
✅ பதில்: d) அறுக்கும் கருவி, தருமம்

27) கறி, கரி – ஒலி வேறுபாடறிந்து பொருள் தருக.
